acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.097,Best of P-Square,P-Square,0.764,192720,0.738,0.000372,6,0.0969,-4.322,0,Afrobeats 2013,24.0,0.26,162.546,5,6v3t7pht6XNt5Wq7co40DM,Personally,0.963
0.12,"Sarkodie, Vol. 2",Sarkodie,0.608,252057,0.615,0.0,11,0.112,-12.212,0,Afrobeats 2013,4.0,0.306,127.551,5,0DvmlyLkcncPUwWuyXiOeM,Pon Di Ting,0.668
0.613,Best of P-Square,P-Square,0.715,292333,0.741,0.0,6,0.172,-5.787,0,Afrobeats 2013,30.0,0.0603,100.021,4,3N4I4l7e7vjKXbsy7Tb08Q,Beautiful Onyinye Remix,0.882
0.224,The Matter (feat. Wizkid),Maleek Berry,0.697,198058,0.841,0.0,2,0.336,-6.782,1,Afrobeats 2013,42.0,0.271,103.07,4,2cWdhA4ZDBvYuHRKKIPT3k,The Matter (feat. Wizkid),0.808
0.0871,Next Page,Samini,0.787,252120,0.741,0.0,9,0.112,-7.986,1,Afrobeats 2013,11.0,0.0656,100.022,4,0Yv0ymXWcVbkuqlWFvTvh1,Masters,0.78
0.158,Best of P-Square,P-Square,0.813,272126,0.801,3.33e-06,5,0.129,-5.881,0,Afrobeats 2013,28.0,0.0841,127.025,4,1ty8ag0Xcwq05MTbsmtYpy,Chop My Money Remix,0.872
0.567,Shatta Wale,Shatta Wale,0.769,219167,0.887,0.0,1,0.0511,-6.564,1,Afrobeats 2013,23.0,0.058,124.016,4,1qfDPODZiDmZnkqbteYCWz,Dancehall King,0.975
0.267,Next Page,Samini,0.845,226013,0.617,0.0,0,0.0881,-11.378,0,Afrobeats 2013,17.0,0.266,102.031,4,4VqM7A7yChIKtDGWp65Y5B,Body Flame,0.793
0.0898,3points,Gasmilla,0.82,229355,0.927,0.0,7,0.0869,-3.596,1,Afrobeats 2013,20.0,0.119,122.999,4,7d1E5xB2lTEoZgK1qRQsGq,3points,0.95
0.131,Best of Richie,Richie Mensah,0.574,244955,0.828,0.0,0,0.0899,-4.571,1,Afrobeats 2013,0.0,0.0529,107.302,4,0SSB3j4nndP0C9XDl1ADFh,Changing Faces,0.655
0.181,Best of Guru,Guru,0.876,218032,0.717,0.0,7,0.29,-6.345,1,Afrobeats 2013,3.0,0.196,103.529,4,0kwPTpMMB4GGxPL8awC99V,Alkayida{Boys Abre},0.73
0.29,Refuse to Be Broke: Da Revolution 2,R2Bees,0.858,244080,0.68,0.0,11,0.0933,-2.431,0,Afrobeats 2013,17.0,0.0411,104.919,4,4YyCF2W0oTYFh3dXwLPc9v,It's Alright,0.741
0.164,Bankulize,Mr Eazi,0.62,248451,0.595,0.0,4,0.121,-7.505,1,Afrobeats 2013,10.0,0.162,100.732,4,2RraLHuLzDhYf7dBojvu2G,Bankulize,0.644
0.0397,Alingo,P-Square,0.735,271787,0.885,0.0,10,0.0916,-3.669,0,Afrobeats 2013,23.0,0.175,125.946,4,7w2IT8EugHvRQxLI7QkX4h,Alingo,0.61
0.0198,Caro (feat. Wizkid & L.a.X),Starboy,0.703,246805,0.947,3.11e-05,9,0.459,-1.77,0,Afrobeats 2013,4.0,0.0663,122.081,4,4rwVP9U3jBrAJWUAdstJRY,Caro (feat. Wizkid & L.a.X),0.916
